entry_time,exit_time,direction,entry_price,exit_price,sl,tp,pnl_usd,result,rsi_at_entry,atr_at_entry,cum_pnl,cum_max,drawdown,month
2025-01-06 18:00:00+00:00,2025-01-07 07:00:00+00:00,long,2641.16,2661.16,2628.87,2661.16,20.0,WIN,57.9,9.35,20.0,20.0,0.0,2025-01
2025-01-15 12:00:00+00:00,2025-01-15 21:00:00+00:00,short,2644.49,2662.34,2662.34,2624.49,-17.85,LOSS,47.8,7.87,2.1499999999999986,20.0,17.85,2025-01
2025-02-06 18:00:00+00:00,2025-02-06 22:00:00+00:00,long,2707.77,2692.22,2692.22,2727.77,-15.55,LOSS,50.1,8.31,-13.400000000000002,20.0,33.400000000000006,2025-02
2025-02-14 16:00:00+00:00,2025-02-17 16:00:00+00:00,short,2724.46,2704.46,2737.47,2704.46,20.0,WIN,46.2,9.19,6.599999999999998,20.0,13.400000000000002,2025-02
2025-03-07 13:00:00+00:00,2025-03-10 22:00:00+00:00,short,2711.29,2691.29,2728.21,2691.29,20.0,WIN,47.0,8.14,26.599999999999998,26.599999999999998,0.0,2025-03
2025-04-01 19:00:00+00:00,2025-04-02 08:00:00+00:00,short,2687.76,2700.79,2700.79,2667.76,-13.03,LOSS,56.2,7.74,13.569999999999999,26.599999999999998,13.03,2025-04
2025-04-09 15:00:00+00:00,2025-04-10 06:00:00+00:00,short,2690.72,2708.48,2708.48,2670.72,-17.77,LOSS,56.5,6.78,-4.200000000000001,26.599999999999998,30.799999999999997,2025-04
2025-04-17 20:00:00+00:00,2025-04-18 19:00:00+00:00,long,2724.05,2744.05,2712.53,2744.05,20.0,WIN,61.6,8.29,15.799999999999999,26.599999999999998,10.799999999999999,2025-04
2025-04-24 21:00:00+00:00,2025-04-25 11:00:00+00:00,short,2739.83,2756.65,2756.65,2719.83,-16.82,LOSS,63.3,7.95,-1.0200000000000014,26.599999999999998,27.619999999999997,2025-04
2025-05-14 18:00:00+00:00,2025-05-16 01:00:00+00:00,long,2821.45,2798.37,2798.37,2841.45,-23.08,LOSS,40.5,9.09,-24.1,26.599999999999998,50.7,2025-05
