entry_time,exit_time,direction,entry_price,exit_price,sl,tp,pnl_usd,result,rsi_at_entry,atr_at_entry,sl_dist,cum_pnl,cum_max,drawdown,month
2025-01-07 11:00:00+00:00,2025-01-07 15:45:00+00:00,long,2640.54,2634.55,2634.55,2652.5,-5.98,LOSS,34.3,3.99,5.98,-5.98,-5.98,0.0,2025-01
2025-01-08 13:15:00+00:00,2025-01-09 03:45:00+00:00,long,2644.98,2656.96,2639.0,2656.96,11.98,WIN,57.7,3.99,5.99,6.0,6.0,0.0,2025-01
2025-01-15 15:15:00+00:00,2025-01-15 18:00:00+00:00,long,2656.08,2649.78,2649.78,2668.7,-6.31,LOSS,52.4,4.2,6.31,-0.3099999999999996,6.0,6.31,2025-01
2025-01-17 10:15:00+00:00,2025-01-17 13:15:00+00:00,long,2662.86,2656.66,2656.66,2675.26,-6.2,LOSS,33.2,4.13,6.2,-6.51,6.0,12.51,2025-01
2025-01-20 11:00:00+00:00,2025-01-20 12:00:00+00:00,long,2661.23,2654.82,2654.82,2674.04,-6.41,LOSS,54.4,4.27,6.41,-12.92,6.0,18.92,2025-01
2025-01-20 14:15:00+00:00,2025-01-21 08:30:00+00:00,long,2660.92,2675.1,2653.82,2675.1,14.18,WIN,68.3,4.73,7.09,1.2599999999999998,6.0,4.74,2025-01
2025-01-21 14:45:00+00:00,2025-01-21 15:15:00+00:00,long,2670.03,2664.04,2664.04,2682.01,-5.99,LOSS,67.6,3.99,5.99,-4.73,6.0,10.73,2025-01
2025-01-24 10:45:00+00:00,2025-01-27 02:45:00+00:00,long,2671.84,2665.87,2665.87,2683.77,-5.97,LOSS,32.1,3.98,5.97,-10.7,6.0,16.7,2025-01
2025-01-27 13:45:00+00:00,2025-01-27 15:00:00+00:00,long,2675.82,2670.17,2670.17,2687.11,-5.65,LOSS,49.7,3.77,5.65,-16.35,6.0,22.35,2025-01
2025-01-28 16:15:00+00:00,2025-01-30 02:15:00+00:00,long,2680.73,2695.48,2673.36,2695.48,14.75,WIN,82.2,4.92,7.37,-1.6000000000000014,6.0,7.600000000000001,2025-01
2025-01-30 14:30:00+00:00,2025-01-31 05:15:00+00:00,long,2691.07,2704.24,2684.49,2704.24,13.17,WIN,53.3,4.39,6.59,11.569999999999999,11.569999999999999,0.0,2025-01
2025-02-03 07:30:00+00:00,2025-02-04 01:45:00+00:00,long,2702.52,2695.49,2695.49,2716.57,-7.03,LOSS,25.0,4.68,7.03,4.539999999999998,11.569999999999999,7.03,2025-02
2025-02-04 07:30:00+00:00,2025-02-05 21:45:00+00:00,long,2701.66,2714.51,2695.24,2714.51,12.84,WIN,75.9,4.28,6.42,17.38,17.38,0.0,2025-02
2025-02-06 14:45:00+00:00,2025-02-06 18:45:00+00:00,long,2705.57,2698.51,2698.51,2719.69,-7.06,LOSS,44.0,4.71,7.06,10.32,17.38,7.059999999999999,2025-02
2025-02-07 08:15:00+00:00,2025-02-11 19:00:00+00:00,long,2708.74,2700.7,2700.7,2724.83,-8.04,LOSS,39.9,5.36,8.04,2.280000000000001,17.38,15.099999999999998,2025-02
2025-02-13 15:30:00+00:00,2025-02-14 14:45:00+00:00,long,2710.52,2723.93,2703.82,2723.93,13.41,WIN,66.3,4.47,6.7,15.690000000000001,17.38,1.6899999999999977,2025-02
2025-02-17 11:00:00+00:00,2025-02-18 02:45:00+00:00,long,2715.11,2725.43,2709.95,2725.43,10.32,WIN,72.6,3.44,5.16,26.01,26.01,0.0,2025-02
2025-02-18 07:00:00+00:00,2025-02-19 15:00:00+00:00,long,2721.65,2733.93,2715.5,2733.93,12.29,WIN,56.1,4.1,6.14,38.3,38.3,0.0,2025-02
2025-02-20 12:15:00+00:00,2025-02-20 16:30:00+00:00,long,2731.16,2725.3,2725.3,2742.86,-5.85,LOSS,49.7,3.9,5.85,32.449999999999996,38.3,5.850000000000001,2025-02
2025-02-20 17:00:00+00:00,2025-02-21 07:00:00+00:00,long,2732.95,2725.6,2725.6,2747.65,-7.35,LOSS,61.7,4.9,7.35,25.099999999999994,38.3,13.200000000000003,2025-02
2025-02-21 09:30:00+00:00,2025-02-24 14:15:00+00:00,long,2733.94,2747.24,2727.29,2747.24,13.3,WIN,74.5,4.43,6.65,38.39999999999999,38.39999999999999,0.0,2025-02
2025-02-25 16:45:00+00:00,2025-02-25 18:15:00+00:00,long,2736.76,2729.76,2729.76,2750.76,-7.0,LOSS,51.3,4.67,7.0,31.39999999999999,38.39999999999999,7.0,2025-02
2025-03-26 11:15:00+00:00,2025-03-26 12:45:00+00:00,long,2666.42,2659.84,2659.84,2679.58,-6.58,LOSS,58.7,4.39,6.58,24.819999999999993,38.39999999999999,13.579999999999998,2025-03
2025-03-26 17:00:00+00:00,2025-03-27 15:30:00+00:00,long,2663.75,2676.64,2657.31,2676.64,12.89,WIN,49.8,4.3,6.44,37.709999999999994,38.39999999999999,0.6899999999999977,2025-03
2025-04-03 08:00:00+00:00,2025-04-04 07:15:00+00:00,long,2698.9,2711.05,2692.82,2711.05,12.15,WIN,86.9,4.05,6.08,49.85999999999999,49.85999999999999,0.0,2025-04
2025-04-07 07:15:00+00:00,2025-04-07 07:45:00+00:00,long,2708.61,2702.56,2702.56,2720.71,-6.05,LOSS,51.4,4.03,6.05,43.809999999999995,49.85999999999999,6.049999999999997,2025-04
2025-04-08 11:45:00+00:00,2025-04-08 23:15:00+00:00,long,2710.89,2704.65,2704.65,2723.38,-6.25,LOSS,29.8,4.16,6.25,37.559999999999995,49.85999999999999,12.299999999999997,2025-04
2025-04-10 08:30:00+00:00,2025-04-10 10:15:00+00:00,long,2711.26,2704.72,2704.72,2724.35,-6.55,LOSS,41.0,4.36,6.55,31.009999999999994,49.85999999999999,18.849999999999998,2025-04
2025-04-15 10:45:00+00:00,2025-04-15 16:15:00+00:00,long,2719.68,2712.74,2712.74,2733.55,-6.94,LOSS,37.6,4.62,6.94,24.069999999999993,49.85999999999999,25.79,2025-04
2025-04-17 14:00:00+00:00,2025-04-17 18:00:00+00:00,long,2716.88,2710.84,2710.84,2728.96,-6.04,LOSS,30.7,4.03,6.04,18.029999999999994,49.85999999999999,31.83,2025-04
2025-04-21 08:30:00+00:00,2025-04-21 10:30:00+00:00,long,2726.18,2719.31,2719.31,2739.9,-6.86,LOSS,48.8,4.57,6.86,11.169999999999995,49.85999999999999,38.69,2025-04
